Year,n_sites_sampled,species_richness,total_identifications,mean_search_minutes,richness_per_site,ids_per_site,richness_per_100min
2008,18,85,836,82.40430622009569,4.7222,46.4444,5.7305
2010,10,64,698,98.8323782234957,6.4,69.8,6.4756
2011,45,61,629,99.93322734499205,1.3556,13.9778,1.3565
2012,16,29,109,77.1559633027523,1.8125,6.8125,2.3491
2013,38,72,691,96.64833574529668,1.8947,18.1842,1.9604
2014,37,101,2419,131.87432823480776,2.7297,65.3784,2.0699
2015,30,50,518,98.17374517374517,1.6667,17.2667,1.6977
2016,23,37,343,100.39067055393586,1.6087,14.913,1.6024
2017,46,94,2803,121.30895469140206,2.0435,60.9348,1.6845
2018,22,139,2863,134.77471184072652,6.3182,130.1364,4.688
2019,10,99,1441,139.1880638445524,9.9,144.1,7.1127
